	Species	Island_type	ecomorph	geo_ecomorph	Female_SVL	Male_SVL	min_n_females	min_n_males	n_females	n_males	refs	notes
A_alutaceu	Anolis_alutaceus	LargeIsland	GrassBush	2	37	37.5	334	295	"334 (Schoener 1970), 8 (Schettino 1999)"	"295 (Schoener 1970), 9 (Schettino 1999)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004, Butler et al. 2000"	NA
A_angustic	Anolis_angusticeps	LargeIsland	Twig	2	47	53	60	41	60 (Butler et al. 2000)	"40 (Schoener 1970), 41 (Butler et al. 2000)"	"Schoener 1970, Stamps et al. 1997, Fitch 1981, Perry and Garland 2002, Cox et al. 2003, Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004, Butler et al. 2000, Uetz 2006"	NA
A_annecten	Anolis_annectens	Mainland	NA	3	63.3	77.6	9	10	9 (Barros et al. 2007)	"1 (Williams 1974), 10 (Barros et al. 2007)"	"Williams 1974, Barros et al. 2007"	NA
A_aquaticu	Anolis_aquaticus	Mainland	NA	3	62	71	10	12	"9 (Fitch 1976, Fitch 1981), 1 (Taylor 1956), 10 (Fitch et al. 1976)"	"10 (Fitch 1976, Fitch 1981), 2 (Taylor 1956), 12 (Fitch et al. 1976)"	"Fitch 1976, Fitch 1981, Cox et al. 2003, Savage 2002,  Fitch and Hillis 1984, Taylor 1956, Fitch et al. 1976"	NA
A_argenteo	Anolis_argenteolus	LargeIsland	Unique	2	51	59.8	62	25	62 (Schettino 1999)	52 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991, Rogner 1997"	NA
A_argillac	Anolis_argillaceus	LargeIsland	Unique	2	44.8	46.2	23	54	"23 (Schoener 1970), 19 (Schettino 1999)"	"54 (Schoener 1970), 18 (Schettino 1999)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991"	NA
A_armouri	Anolis_armouri	LargeIsland	TrunkGround	1	56	67	NA	NA	NA	NA	"Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983"	NA
A_auratus	Anolis_auratus	Mainland	NA	3	57	51	21	45	"19 (Fitch 1981), 8 (Fitch 1976), 15 (Vitt and de Carvalho 1995), 10+11 (Hoogmoed 1973)"	"45 (Fitch 1981), 31 (Fitch 1976), 21 (Vitt and de Carvalho 1995), 7+14 (Hoogmoed 1973), 1 (Boulenger 1896)"	"Stamps et al. 1997, Fitch 1976, Fitch 1981, Cox et al. 2003, Avila-Pires 1995, Vitt and de Carvalho 1995, Andrews and Rand 1974, Hoogmoed 1973, Herrel et al. 2004, Boulenger 1896"	NA
A_bahoruco	Anolis_bahorucoensis	LargeIsland	GrassBush	2	44	51	NA	NA	NA	NA	"Fitch 1981, Schwartz and Henderson 1991, Rogner 1997, Herrel et al. 2004, Williams 1983"	NA
A_baleatus	Anolis_baleatus	LargeIsland	CrownGiant	2	148	180	NA	NA	NA	NA	"Fitch 1981, Schwartz and Henderson 1991, Williams 1983"	NA
A_baracoae	Anolis_baracoae	LargeIsland	CrownGiant	2	155	172	10	10	10 (Schettino 1999)	10 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_barahona	Anolis_barahonae	LargeIsland	CrownGiant	2	148	160	NA	NA	NA	NA	"Fitch 1981, Schwartz and Henderson 1991, Herrel et al. 2004, Williams 1983"	NA
A_barbatus	Anolis_barbatus	LargeIsland	Unique	2	157	170	2	2	2 (Leal and Losos 2000)	2 (Leal and Losos 2000)	"Schettino 1999, Schwartz and Henderson 1991, Herrel et al. 2004, Leal and Losos 2000"	NA
A_barbouri	Anolis_barbouri	LargeIsland	Unique	2	55	44	NA	NA	NA	NA	"Schwartz and Henderson 1991, Herrel et al. 2004, Losos Pers. Comm"	NA
A_bartschi	Anolis_bartschi	LargeIsland	Unique	2	63.6	80	31	25	31 (Schettino 1999)	25 (Schettino 1999)	"Schettino 1999, Schwartz and Henderson 1991, Rogner 1997, Losos Pers. Comm"	NA
A_bimacula	Anolis_bimaculatus	SmallIsland	NA	0	70	123	77	113	77 (Lazell 1972)	113 (Lazell 1972)	"Stamps et al. 1997, Fitch 1981, Roughgarden 1995, Schwartz and Henderson 1991, Andrews and Rand 1974, Herrel et al. 2004, Lazell 1972, Stamps and Andrews 1992, Powell et al. 2005"	NA
A_biporcat	Anolis_biporcatus	Mainland	NA	3	105	105	19	24	"19 (Fitch 1981), 2 (Guyer and Donnelly 2005)"	"24 (Fitch 1981), 1 (Ruthven 1916), 2 (Guyer and Donnelly 2005)"	"Fitch 1976, Fitch 1981, Campbell 1999, Andrews and Rand 1974, Herrel et al. 2004, Ruthven 1916, Guyer and Donnelly 2005"	NA
A_bitectus	Anolis_bitectus	Mainland	NA	3	54.7	55.8	2	2	"2 (Meiri, unpublished)"	"2 (Meiri, unpublished)"	"Meiri, unpublished"	NA
A_bremeri	Anolis_bremeri	LargeIsland	TrunkGround	1	52.3	72	9	9	9 (Fitch 1981)	9 (Fitch 1981)	"Fitch 1981, Schettino 1999, Schwartz and Henderson 1991"	NA
A_breslini	Anolis_breslini	LargeIsland	TrunkGround	1	45	60	15	27	15 (Schwartz 1980)	27 (Schwartz 1980)	Schwartz 1980	Sometimes considered a subspecies of whitemani but distinguished by Schwartz (1980)
A_breviros	Anolis_brevirostris	LargeIsland	Trunk	2	45	51	175	451	175 (Schoener 1970)	451 (Schoener 1970)	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_brunnneu	Anolis_brunneus	SmallIsland	TrunkCrown	0	70	76	NA	NA	NA	NA	Schwartz and Henderson 1991	NA
A_capito	Anolis_capito	Mainland	NA	3	97	91	13	15	"13 (Fitch 1981), 4 (Taylor 1956), 12 (Guyer and Donnelly 2005)"	"13 (Fitch 1981), 3 (Taylor 1956), 15 (Guyer and Donnelly 2005)"	"Stamps et al. 1997, Fitch 1976, Fitch 1981, Savage 2002, Herrel et al. 2004, Taylor 1956, Guyer and Donnelly 2005"	NA
A_caroline	Anolis_carolinensis	Mainland	NA	3	57.5	71	12	47	"12 (Fitch 1976), 1 (Boulenger 1885)"	"14 (Fitch 1976), 47 (Gerber and Echternacht 2000), 1 (Boulenger 1885)"	"Tinkle et al. 1970, Dunham and Miles 1985, Stamps et al. 1997, Fitch 1970, 1981, Perry and Garland 2002, Cox et al. 2003, Andrews and Rand 1974, Gerber and Echternacht 2000, Boulenger 1885, Dunham et al. 1988"	NA
A_carpente	Anolis_carpenteri	Mainland	NA	3	45	41	14	6	"14 (Fitch 1981, Fitch et al. 1976), 8 (Guyer and Donnelly 2005)"	"6 (Fitch 1981, Fitch et al. 1976), 6 (Guyer and Donnelly 2005)"	"Fitch 1976, Fitch 1981, Fitch and Hillis 1984, Herrel et al. 2004, Guyer and Donnelly 2005, Fitch et al. 1976"	NA
A_caudalis	Anolis_caudalis	LargeIsland	Trunk	2	44	48	NA	NA	NA	NA	"Schwartz and Henderson 1991, Williams 1983"	NA
A_centrali	Anolis_centralis	LargeIsland	Unique	2	46	47.2	NA	NA	NA	NA	"Schettino 1999, Schwartz and Henderson 1991"	NA
A_chamaele	Anolis_chamaeleonides	LargeIsland	Unique	2	172	177	79	42	"79 (Schoener), 33 (Fitch 1981)"	"42 (Schoener), 12 (Fitch 1981)"	"Schoener 1970, Fitch 1981, Schettino 1999, Schwartz and Henderson 1991"	NA
A_chlorocy	Anolis_chlorocyanus	LargeIsland	TrunkCrown	1	54.8	80	197	396	197 (Schoener 1970)	396 (Schoener 1970)	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Williams 1983, Butler et al. 2000"	NA
A_christop	Anolis_christophei	LargeIsland	Unique	2	45	49	33	27	33 (Schoener)	27 (Schoener)	"Schoener 1970, Fitch 1981, Schwartz and Henderson 1991, Williams 1983"	NA
