ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Subfamily_05,Genus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
161,'NHML_1870.3.10.15_1527.a_cr_lt_1A_02_13.TIF',NHML_1870.3.10.15_1527.a,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrecinae,Setifer,setosus,,Setifer_setosus,
162,'NHML_1919.7.7.2313_cr_lt_1A_01_13.TIF',NHML_1919.7.7.2313,Y,Soricomorpha,,Talpidae,Talpinae,Desmana,moschata,,Desmana_moschata,
163,'NHML_1934.6.16.2_cr_lt_1A_02_13.TIF',NHML_1934.6.16.2,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Potamogale,velox,,Potamogale_velox,
164,'NHML_1958.3.11.7_cr_lt_1A_01_13.TIF',NHML_1958.3.11.7,Y,Soricomorpha,,Talpidae,Scalopinae,Scalopus,aquaticus,,Scalopus_aquaticus,
165,'NHML_1960.10.11.12_cr_lt_1A_01_13.TIF',NHML_1960.10.11.12,Y,Soricomorpha,,Talpidae,Talpinae,Galemys,pyrenaicus,,Galemys_pyrenaicus,
166,'NHML_1960.5.2.1_cr_lt_1A_02_13.TIF',NHML_1960.5.2.1,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Echinosorex,gymnura,,Echinosorex_gymnura,
167,'NHML_1960.8.4.7_cr_lt_1A_01_13.TIF',NHML_1960.8.4.7,Y,Erinaceomorpha,,Erinaceidae,Galericinae,Hylomys,suillus,,Hylomys_suillus,
168,'NHML_1961.6.2.3_cr_lt_left_1A_01_13_flipped.tif',NHML_1961.6.2.3,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochlorinae,Chrysospalax,trevelyani,,Chrysospalax_trevelyani,
169,'NHML_1966.7.6.2_cr_lt_1A_01_13.TIF',NHML_1966.7.6.2,Y,Soricomorpha,,Talpidae,Talpinae,Urotrichus,talpoides,,Urotrichus_talpoides,
170,'NHML_3.1.1.1_cr_lt_1A_01_13.TIF',NHML_3.1.1.1,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Geogalinae,Geogale,aurita,,Geogale_aurita,
171,'NHML_3.6.2.10_cr_lt_1A_01_13.TIF',NHML_3.6.2.10,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Amblysominae,Amblysomus,hottentotus,,Amblysomus_hottentotus,
172,'NHML_3509_fl_cr_lt_left_2A_02_13_flipped.tif',NHML_3509,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrecinae,Tenrec,ecaudatus,,Tenrec_ecaudatus,
173,'NHML_67.213_cr_lt_1A_02_13.TIF',NHML_67.213,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Micropotamogale,ruwenzorii,,Micropotamogale_ruwenzorii,
174,'NHML_73.170_cr_lt_1A_02_13.TIF',NHML_73.170,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Potamogalinae,Micropotamogale,lamottei,,Micropotamogale_lamottei,
