ID,Image,SpecID,Skull,Order_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
156,'SI_261090_ma_left_flipped_1A_11_04_2013.TIF',SI_261090,Y,Soricomorpha,Talpidae,Euroscaptor,,klossi,,Euroscaptor_klossi,
157,'SI_266897_ma_1A_05_04_2013.TIF',SI_266897,Y,Afrosoricida,Tenrecidae,Potamogale,,velox,,Potamogale_velox,
158,'SI_267653_ma_1A_28_03_2013.TIF',SI_267653,Y,Erinaceomorpha,Erinaceidae,Atelerix,,frontalis,,Atelerix_frontalis,
159,'SI_270539_ma_1A_08_04_2013.TIF',SI_270539,Y,Erinaceomorpha,Erinaceidae,Mesechinus,,dauuricus,,Mesechinus_dauuricus,
160,'SI_270540_ma_1A_08_04_2013.TIF',SI_270540,Y,Erinaceomorpha,Erinaceidae,Mesechinus,,dauuricus,,Mesechinus_dauuricus,
161,'SI_270541_ma_left_flipped_1A_05_04_2013.TIF',SI_270541,Y,Erinaceomorpha,Erinaceidae,Erinaceus,,amurensis,,Erinaceus_amurensis,
162,'SI_270542_ma_1A_05_04_2013.TIF',SI_270542,Y,Erinaceomorpha,Erinaceidae,Erinaceus,,amurensis,,Erinaceus_amurensis,
163,'SI_290520_ma_1A_01_04_2013.TIF',SI_290520,Y,Soricomorpha,Solenodontidae,Solenodon,,paradoxus,,Solenodon_paradoxus,
164,'SI_291735_ma_1A_18_04_2013.TIF',SI_291735,Y,Soricomorpha,Talpidae,Urotrichus,,talpoides,,Urotrichus_talpoides,
165,'SI_294497_ma_1A_01_04_2013.TIF',SI_294497,Y,Afrosoricida,Tenrecidae,Setifer,,setosus,,Setifer_setosus,
166,'SI_294504_ma_1A_29_03_2013.TIF',SI_294504,Y,Afrosoricida,Tenrecidae,Hemicentetes,,semispinosus,,Hemicentetes_semispinosus,
167,'SI_294507_ma_1A_29_03_2013.TIF',SI_294507,Y,Afrosoricida,Tenrecidae,Hemicentetes,,nigriceps,,Hemicentetes_nigriceps,
168,'SI_294508_ma_left_flipped_1A_29_03_2013.TIF',SI_294508,Y,Afrosoricida,Tenrecidae,Hemicentetes,,nigriceps,,Hemicentetes_nigriceps,
169,'SI_294510_ma_1A_29_03_2013.TIF',SI_294510,Y,Afrosoricida,Tenrecidae,Hemicentetes,,nigriceps,,Hemicentetes_nigriceps,
170,'SI_294511_ma_1A_29_03_2013.TIF',SI_294511,Y,Afrosoricida,Tenrecidae,Hemicentetes,,nigriceps,,Hemicentetes_nigriceps,
171,'SI_294520_ma_1A_03_04_2013.TIF',SI_294520,Y,Afrosoricida,Tenrecidae,Microgale,,dobsoni,,Microgale_dobsoni,
172,'SI_299278_ma_1A_18_04_2013.TIF',SI_299278,Y,Soricomorpha,Talpidae,Urotrichus,,talpoides,hondoensis,Urotrichus_talpoides,Urotrichus_talpoides_hondoensis
173,'SI_300009_ma_1A_28_03_2013.TIF',SI_300009,Y,Erinaceomorpha,Erinaceidae,Hylomys,,suillus,,Hylomys_suillus,
174,'SI_300634_ma_1A_01_04_2013.TIF',SI_300634,Y,Soricomorpha,Solenodontidae,Solenodon,,cubanus,,Solenodon_cubanus,
175,'SI_307652_ma_1A_28_03_2013.TIF',SI_307652,Y,Erinaceomorpha,Erinaceidae,Hylomys,,suillus,,Hylomys_suillus,
176,'SI_320499_ma_1A_28_03_2013.TIF',SI_320499,Y,Erinaceomorpha,Erinaceidae,Hylomys,,suillus,,Hylomys_suillus,
177,'SI_320531_ma_1A_11_04_2013.TIF',SI_320531,Y,Soricomorpha,Talpidae,Euroscaptor,,klossi,,Euroscaptor_klossi,
178,'SI_320532_ma_1A_11_04_2013.TIF',SI_320532,Y,Soricomorpha,Talpidae,Euroscaptor,,klossi,,Euroscaptor_klossi,
179,'SI_326693_ma_1A_19_04_2013.TIF',SI_326693,Y,Erinaceomorpha,Erinaceidae,Hemiechinus,,auritus,,Hemiechinus_auritus,
180,'SI_327190_ma_1A_05_04_2013.TIF',SI_327190,Y,Erinaceomorpha,Erinaceidae,Erinaceus,,concolor,,Erinaceus_concolor,
181,'SI_327893_ma_1A_11_04_2013.TIF',SI_327893,Y,Erinaceomorpha,Talpidae,Condylura,,cristata,,Condylura_cristata,
182,'SI_327911_ma_1A_19_04_2013.TIF',SI_327911,Y,Erinaceomorpha,Erinaceidae,Hemiechinus,,auritus,,Hemiechinus_auritus,
183,'SI_327912_ma_1A_19_04_2013.TIF',SI_327912,Y,Erinaceomorpha,Erinaceidae,Hemiechinus,,auritus,,Hemiechinus_auritus,
184,'SI_328604_ma_1A_01_04_2013.TIF',SI_328604,Y,Afrosoricida,Tenrecidae,Setifer,,setosus,,Setifer_setosus,
185,'SI_328605_ma_1A_01_04_2013.TIF',SI_328605,Y,Afrosoricida,Tenrecidae,Setifer,,setosus,,Setifer_setosus,
