ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
317,'SI_578749_cr_dr_1A_03_04_2013.TIF',SI_578749,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,dobsoni,,Microgale_dobsoni,
318,'SI_578753_cr_dr_1A_26_03_2013.TIF',SI_578753,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,principula,,Microgale_principula,
319,'SI_578756_cr_dr_1A_26_03_2013.TIF',SI_578756,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,principula,,Microgale_principula,
320,'SI_578759_cr_dr_1A_26_03_2013.TIF',SI_578759,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,principula,,Microgale_principula,
321,'SI_578760_cr_dr_1A_26_03_2013.TIF',SI_578760,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,principula,,Microgale_principula,
322,'SI_578762_cr_dr_1A_26_03_2013.TIF',SI_578762,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,principula,,Microgale_principula,
323,'SI_578768_cr_dr_1A_03_04_2013.TIF',SI_578768,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,talazaci,,Microgale_talazaci,
324,'SI_578769_cr_dr_1A_03_04_2013.TIF',SI_578769,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,talazaci,,Microgale_talazaci,
325,'SI_578772_cr_dr_1A_03_04_2013.TIF',SI_578772,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,thomasi,,Microgale_thomasi,
326,'SI_578773_cr_dr_1A_03_04_2013.TIF',SI_578773,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,thomasi,,Microgale_thomasi,
327,'SI_578774_cr_dr_1A_03_04_2013.TIF',SI_578774,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,thomasi,,Microgale_thomasi,
328,'SI_578775_cr_dr_1A_03_04_2013.TIF',SI_578775,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,thomasi,,Microgale_thomasi,
329,'SI_578776_cr_dr_1A_03_04_2013.TIF',SI_578776,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,thomasi,,Microgale_thomasi,
330,'SI_578787_cr_dr_1A_26_03_2013.TIF',SI_578787,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,fotsifotsy,,Microgale_fotsifotsy,
331,'SI_578789_cr-dr_1A_26_03_2013.TIF',SI_578789,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Oryzorictes,,sp.,,Oryzorictes_sp.,
332,'SI_578791_cr_dr_1A_05_04_2013.TIF',SI_578791,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrec,,ecaudatus,,Tenrec_ecaudatus,
333,'SI_578792_cr_dr_1A_05_04_2013.TIF',SI_578792,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Tenrec,,ecaudatus,,Tenrec_ecaudatus,
334,'SI_584649_cr_dr_1A_28_03_2013.TIF',SI_584649,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Calcochloris,Huetia,leucorhinus,,Calcochloris_leucorhinus,
335,'SI_584656_cr_dr_1A_19_04_2013.TIF',SI_584656,Y,Soricomorpha,,Soricidae,Crocidura,,crenata,,Crocidura_crenata,
336,'SI_584662_cr_dr_1A_19_04_2013.TIF',SI_584662,Y,Soricomorpha,,Soricidae,Crocidura,,crenata,,Crocidura_crenata,
337,'SI_584675_cr_dr_1A_18_04_2013.TIF',SI_584675,Y,Soricomorpha,,Soricidae,Sylvisorex,,johnstoni,,Sylvisorex_johnstoni,
338,'SI_584676_cr_dr_1A_18_04_2013.TIF',SI_584676,Y,Soricomorpha,,Soricidae,Sylvisorex,,johnstoni,,Sylvisorex_johnstoni,
